"Rank","Player","Team","Position","Points","Games","Avg"
"1","Matt Ryan","ATL","QB","32.5","1","32.5"
"2","Robert Griffin","BAL","QB","25.0","1","25.0"
"3","Tony Romo","FA","QB","23.5","1","23.5"
"4","C.J. Spiller","FA","RB","23.4","1","23.4"
"4","Kevin Ogletree","FA","WR","23.4","1","23.4"
"5","Aaron Rodgers","GB","QB","22.8","1","22.8"
"5","Julio Jones","ATL","WR","22.8","1","22.8"
"6","Cleveland Browns","CLE","DST","22.0","1","22.0"
"7","Drew Brees","NO","QB","21.6","1","21.6"
"7","Alfred Morris","DAL","RB","21.6","1","21.6"
"8","Ray Rice","FA","RB","21.3","1","21.3"
"9","Stevan Ridley","FA","RB","21.2","1","21.2"
"10","Kevin Smith","FA","RB","21.1","1","21.1"
"11","Stephen Hill","FA","WR","20.9","1","20.9"
"12","Adrian Peterson","WAS","RB","20.7","1","20.7"
"13","Mark Sanchez","FA","QB","20.6","1","20.6"
"14","Peyton Manning","FA","QB","20.4","1","20.4"
"15","New York Jets","NYJ","DST","20.0","1","20.0"
"16","Joe Flacco","DEN","QB","19.9","1","19.9"
"17","Arian Foster","FA","RB","19.5","1","19.5"
"18","Blaine Gabbert","TB","QB","19.0","1","19.0"
"19","Jay Cutler","FA","QB","18.9","1","18.9"
"20","Matt Forte","FA","RB","18.0","1","18.0"
"20","Billy Cundiff","FA","K","18.0","1","18.0"
"20","Lance Moore","FA","WR","18.0","1","18.0"
"20","Nate Kaeding","FA","K","18.0","1","18.0"
"20","Baltimore Ravens","BAL","DST","18.0","1","18.0"
"21","Andre Johnson","FA","WR","17.9","1","17.9"
"21","Carson Palmer","FA","QB","17.9","1","17.9"
"21","Brandon Marshall","FA","WR","17.9","1","17.9"
"22","Alex Smith","WAS","QB","17.7","1","17.7"
"23","Tom Brady","NE","QB","17.5","1","17.5"
"24","Frank Gore","BUF","RB","17.3","1","17.3"
"25","Matt Bryant","ATL","K","17.0","1","17.0"
"25","Denver Broncos","DEN","DST","17.0","1","17.0"
"25","Blair Walsh","FA","K","17.0","1","17.0"
